Beer Name,Pack Size,Bottle Size,Price,ml per $
SAPPORO,12,500 ml,$31.49,190.54
SAPPORO,1,500 ml,$3.39,147.49
SAPPORO,6,500 ml,$18.50,162.16
SAPPORO IMPORT,1,650 ml,$5.22,124.52
SAPPORO,24,355 ml,$49.29,172.85
SAPPORO,6,355 ml,$15.49,137.51
SAPPORO,12,355 ml,$28.19,151.12
SAPPORO,12,355 ml,$28.19,151.12
SAPPORO,24,500 ml,$63.49,189.01
SAPPORO,24,355 ml,$49.29,172.85
SAPPORO IMPORT,12,650 ml,$55.53,140.46
SAPPORO IMPORT,6,650 ml,$26.68,146.18
SAPPORO,4,500 ml,$13.29,150.49
SAPPORO IMPORT,2,650 ml,$10.00,130.0
